date,temp_high,temp_low,humidity_mean,dewpoint_mean,pressure_mean,wind_mean,precip_total
2018-08-12,88.0,74.0,84.32566666666666,73.81333333333333,1018.3333333333334,4.421111111111111,0.66
2018-08-13,89.0,76.0,79.25857142857141,75.14285714285714,1018.5708333333333,5.23929712460064,3.2
2018-08-14,90.0,80.0,74.477,75.56666666666666,1018.0333333333333,6.907301587301588,0.0
2018-08-15,90.0,81.0,70.4856,74.28,1018.1,9.679166666666667,0.0
2018-08-16,90.0,81.0,72.78416666666666,75.375,1019.9666666666667,10.305048859934853,0.0
2018-08-17,91.0,81.0,74.1848,75.92,1021.1583333333333,11.002403846153847,0.0
2018-08-18,90.0,78.0,78.74794871794872,76.17948717948718,1019.5208333333334,7.547327044025158,1.1199999999999999
2018-08-19,89.0,76.0,83.5786842105263,75.76315789473684,1017.4499999999999,6.16656346749226,3.31
2018-08-20,90.0,79.0,77.36379310344829,76.0,1018.2541666666666,6.5436102236421725,0.0
2018-08-21,89.0,79.0,74.71666666666667,74.75,1018.9458333333333,5.66327868852459,0.0
2018-08-22,89.0,80.0,76.19444444444444,75.59444444444445,1018.0541666666667,5.864285714285714,3.3600000000000003
2018-08-23,89.0,79.0,74.84571428571428,74.76428571428572,1016.1125000000001,3.6507936507936507,0.0
2018-08-24,89.0,75.0,80.705,75.17647058823529,1015.5291666666667,5.563915857605178,6.99
2018-08-25,86.0,74.0,85.4541935483871,75.06451612903226,1017.7478260869566,7.405854430379747,2.06
2018-08-26,89.0,76.0,82.36307692307693,75.07692307692308,1019.1791666666667,7.085483870967742,0.45
2018-08-27,89.0,78.0,76.8275,75.5,1018.2041666666668,8.289739413680781,0.65
2018-08-28,88.0,76.0,83.38757575757576,75.55151515151515,1018.5833333333334,7.378864353312302,4.36
2018-08-29,88.0,77.0,79.87131578947368,74.98947368421052,1018.7916666666666,8.06173469387755,0.34
2018-08-30,85.0,78.0,81.90058823529411,75.34705882352942,1017.9083333333333,7.675078369905956,0.35
2018-08-31,88.0,78.0,81.26875,76.03125,1016.8000000000001,8.637697160883281,0.1
2018-09-01,88.0,78.0,80.78967741935485,75.83870967741936,1016.9416666666666,8.654113924050632,0.44
2018-09-02,86.0,75.0,84.2851724137931,74.34482758620689,1016.5541666666667,9.879712460063898,5.57
2018-09-03,83.0,74.0,93.73150000000001,75.005,1015.8291666666668,13.728125,17.73
2018-09-04,88.0,77.0,84.96083333333333,76.875,1016.8666666666667,9.549838187702266,0.18
2018-09-05,89.0,80.0,78.87,76.29166666666667,1016.6583333333333,8.1542071197411,0.0
2018-09-06,88.0,79.0,79.36666666666666,75.56666666666666,1015.8291666666668,7.304153354632588,0.03
2018-09-07,84.0,74.0,85.4251724137931,73.86206896551724,1015.0541666666667,6.279365079365079,1.29
2018-09-08,84.0,74.0,86.2042857142857,74.75,1013.6458333333334,4.464490445859872,2.12
2018-09-09,88.0,76.0,82.72774193548386,75.1741935483871,1013.4375,4.736590038314176,5.77
2018-09-10,86.0,78.0,84.55538461538461,75.88461538461539,1014.9541666666668,2.923538961038961,0.0
2018-09-11,89.0,79.0,77.00625000000001,75.125,1015.5333333333333,4.350328947368421,0.0
2018-09-12,91.0,80.0,78.16625,76.16666666666667,1014.4791666666666,4.253883495145631,0.0
2018-09-13,91.0,79.0,75.321875,75.69375,1014.375,4.263679245283019,0.0
2018-09-14,90.0,78.0,79.08545454545455,76.06060606060606,1014.1374999999999,5.350946372239748,0.0
2018-09-15,90.0,75.0,82.95575757575757,75.79393939393938,1012.7208333333333,3.605015673981191,15.05
2018-09-16,90.0,78.0,78.44958333333334,75.875,1012.5791666666668,5.008306188925081,0.0
2018-09-17,90.0,81.0,75.96708333333333,76.375,1014.3333333333334,8.209516129032258,0.0
2018-09-18,89.0,79.0,75.605,75.70833333333333,1014.2291666666666,7.67915309446254,0.62
2018-09-19,90.0,80.0,76.41857142857143,76.59428571428572,1014.0833333333334,6.029337539432176,0.0
2018-09-20,90.0,78.8,76.615,75.64666666666668,1016.1416666666668,4.454430379746835,0.0
2018-09-21,89.0,73.4,74.83333333333333,74.66190476190476,1016.5583333333334,7.647678018575851,4.4
2018-09-22,89.0,77.0,79.96607142857144,75.28571428571429,1015.4458333333333,6.4130293159609115,0.41000000000000003
2018-09-23,89.0,79.0,74.5525,74.70833333333333,1014.5583333333334,6.705844155844156,0.0
2018-09-24,90.0,81.0,75.6392,75.68,1015.3375,7.964677419354839,0.0
2018-09-25,90.0,78.0,82.26366666666667,77.06666666666666,1017.0875,6.356230031948882,0.32
2018-09-26,89.0,81.0,75.88458333333334,76.20833333333333,1017.75,9.125081433224755,0.0
2018-09-27,89.0,82.0,76.5068,76.72,1016.525,11.656818181818183,0.0
2018-09-28,90.0,80.0,72.99666666666667,75.25925925925925,1017.2875,10.258439490445861,0.0
2018-09-29,90.0,78.0,81.11852941176471,76.12352941176471,1017.5625,9.315723270440252,1.49
2018-09-30,89.0,82.0,71.58833333333334,74.29166666666667,1017.3375,11.78937908496732,0.0
2018-10-01,89.0,78.0,77.56964285714285,74.64999999999999,1017.525,9.211057692307692,1.48
2018-10-02,87.0,76.0,80.69466666666668,75.46666666666667,1016.7624999999999,10.09968454258675,2.3800000000000003
2018-10-03,87.0,78.0,72.64041666666667,72.5,1015.2624999999999,9.47363344051447,0.9199999999999999
2018-10-04,87.0,75.2,84.11903225806452,75.16774193548386,1014.6791666666667,9.251273885350319,5.81
2018-10-05,87.0,78.0,77.27846153846154,74.46153846153847,1015.6041666666666,10.914012738853502,0.1
2018-10-06,87.0,78.0,71.79833333333333,71.95833333333333,1016.1166666666667,11.978852459016395,0.0
2018-10-07,85.0,79.0,72.8584,72.56,1015.1291666666666,14.022580645161291,0.0
2018-10-08,86.0,77.0,77.446,74.43333333333334,1013.4833333333332,17.825,0.13
2018-10-09,85.0,81.0,83.42285714285715,77.03571428571429,1011.7166666666667,13.993492063492063,0.0
2018-10-10,89.0,82.0,86.51666666666667,79.24444444444444,1011.9958333333334,10.463535031847135,0.0
2018-10-11,88.0,80.0,85.10258064516128,77.39354838709677,1012.3625000000001,6.545016077170418,0.0
2018-10-12,89.0,77.0,85.4274193548387,76.93548387096774,1011.2291666666666,5.350946372239748,0.0
2018-10-13,89.0,77.0,83.86958333333334,75.83333333333333,1011.8708333333334,4.425645161290323,0.0
2018-10-14,87.0,78.0,85.81714285714285,76.67857142857143,1015.125,5.964469453376206,2.38
2018-10-15,88.0,79.0,79.0426923076923,75.50769230769231,1017.4708333333333,12.47250803858521,0.27
2018-10-16,88.0,80.0,78.73583333333333,75.875,1018.125,14.103420195439739,0.0
2018-10-17,87.0,78.0,81.41586206896551,76.04827586206896,1018.6166666666667,11.8458984375,0.56
2018-10-18,87.0,79.0,77.6576923076923,74.85384615384615,1019.8000000000001,10.087785016286645,0.0
2018-10-19,86.0,76.0,77.24481481481482,73.27407407407408,1019.9458333333333,10.039389067524116,0.34
2018-10-20,86.0,73.0,80.10916666666667,73.83333333333333,1017.0041666666666,3.864448051948052,0.0
2018-10-21,90.0,75.0,76.6375,72.375,1015.6125000000001,5.959771986970685,0.0
2018-10-22,83.0,77.0,74.79875,70.75,1017.7458333333334,10.028295819935693,0.14
2018-10-23,85.0,75.0,70.93875,69.08333333333333,1017.5083333333333,6.988745980707395,0.0
2018-10-24,86.0,74.0,73.93208333333332,69.91666666666667,1015.3791666666666,4.086333333333334,0.0
2018-10-25,85.0,73.0,75.92666666666666,70.375,1013.6708333333332,4.9561290322580644,0.0
2018-10-26,88.0,76.0,74.44291666666668,71.45833333333333,1011.4291666666667,6.349348534201955,0.0
2018-10-27,87.0,76.0,76.3976,71.96,1012.3208333333333,6.673026315789474,0.0
2018-10-28,81.0,67.0,65.4825,61.083333333333336,1018.2291666666666,8.057395498392284,0.0
2018-10-29,82.0,67.0,61.465833333333336,58.416666666666664,1019.0541666666667,6.642370129870129,0.0
2018-10-30,84.0,65.0,65.5225,61.916666666666664,1018.5875,5.635,0.0
2018-10-31,84.0,70.0,64.02791666666667,64.0,1019.2624999999999,8.498051948051948,0.0
2018-11-01,84.0,75.0,68.67208333333333,67.45833333333333,1016.625,10.763106796116505,0.0
2018-11-02,87.8,75.0,80.21038461538461,73.81538461538462,1014.6916666666666,8.001774193548387,0.0
2018-11-03,82.0,71.0,88.10193548387096,71.21290322580644,1017.0291666666667,6.334126984126984,0.37
2018-11-04,84.0,74.0,88.12066666666666,75.0,1018.8208333333333,8.947292993630573,15.8
2018-11-05,85.0,73.0,76.66416666666667,71.29166666666667,1017.9291666666667,9.073870967741936,0.0
2018-11-06,84.0,73.0,79.73708333333333,72.125,1016.525,6.390129449838188,0.0
2018-11-07,85.0,75.2,80.81035714285714,72.87142857142858,1016.125,6.693359375,0.0
2018-11-08,86.0,75.0,79.03538461538461,73.06923076923077,1015.4791666666666,5.863897763578275,0.0
2018-11-09,85.0,76.0,78.70884615384615,72.46153846153847,1015.6333333333333,7.076357827476039,0.0
2018-11-10,87.0,74.0,78.99583333333334,71.83333333333333,1016.4708333333333,3.9602893890675244,0.0
2018-11-11,85.0,74.0,87.09967741935485,73.46451612903226,1017.8458333333333,6.80843949044586,4.49
2018-11-12,84.0,77.0,79.43576923076922,73.14615384615385,1017.5375,10.609677419354838,0.0
